MATCH UP,SEASON,DATE,TEAM,OPPONENT,HOME/AWAY,RESULT,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus
"Jul 16, 2017 - WAS @ NYL",2017,07/16/2017,WAS,NYL,Away,L,22,6,2,6,33.3,1,4,25,1,2,50,0,2,2,2,1,1,1,0,-21
"Jul 19, 2017 - WAS vs. ATL",2017,07/19/2017,WAS,ATL,Home,W,29,10,3,12,25,2,8,25,2,2,100,1,2,3,8,0,0,1,0,12
"Jul 25, 2017 - WAS @ SAN",2017,07/25/2017,WAS,SAN,Away,W,19,6,1,5,20,0,2,0,4,4,100,0,0,0,3,0,0,0,0,5
"Aug 12, 2017 - WAS vs. IND",2017,08/12/2017,WAS,IND,Home,W,17,0,0,1,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,10
"Aug 16, 2017 - WAS vs. LAS",2017,08/16/2017,WAS,LAS,Home,L,23,0,0,5,0,0,3,0,0,0,0,0,1,1,2,2,0,5,6,-23
"Aug 18, 2017 - WAS vs. PHO",2017,08/18/2017,WAS,PHO,Home,L,11,5,2,3,66.7,1,2,50,0,0,0,0,0,0,1,0,0,0,2,2
"May 20, 2018 - WAS vs. IND",2018,05/20/2018,WAS,IND,Home,W,16,5,1,4,25,1,2,50,2,2,100,0,2,2,3,0,0,1,2,-1
"May 22, 2018 - WAS vs. LVA",2018,05/22/2018,WAS,LVA,Home,W,23,7,3,6,50,0,1,0,1,1,100,0,1,1,5,0,0,1,0,7
"May 24, 2018 - WAS @ IND",2018,05/24/2018,WAS,IND,Away,W,26,8,3,6,50,0,2,0,2,2,100,0,2,2,4,0,1,1,3,9
"May 27, 2018 - WAS vs. MIN",2018,05/27/2018,WAS,MIN,Home,W,29,14,6,9,66.7,2,3,66.7,0,1,0,1,3,4,8,0,1,1,2,22
"Jun 03, 2018 - WAS vs. CON",2018,06/03/2018,WAS,CON,Home,L,24,2,1,6,16.7,0,2,0,0,0,0,0,4,4,3,3,0,1,0,-5
"Jun 07, 2018 - WAS vs. MIN",2018,06/07/2018,WAS,MIN,Home,L,35,17,8,18,44.4,1,7,14.3,0,0,0,1,4,5,9,1,0,5,4,-9
"Jun 13, 2018 - WAS @ CON",2018,06/13/2018,WAS,CON,Away,W,34,6,3,6,50,0,1,0,0,0,0,0,4,4,3,0,0,1,3,-2
"Jun 15, 2018 - WAS vs. LAS",2018,06/15/2018,WAS,LAS,Home,L,25,10,4,15,26.7,0,3,0,2,2,100,0,1,1,2,1,0,4,3,-14
"Jun 19, 2018 - WAS vs. CHI",2018,06/19/2018,WAS,CHI,Home,W,25,2,1,3,33.3,0,2,0,0,0,0,0,4,4,6,1,0,0,1,26
"Jun 22, 2018 - WAS @ CHI",2018,06/22/2018,WAS,CHI,Away,W,28,9,4,9,44.4,1,4,25,0,0,0,0,5,5,5,2,0,2,1,13
"Jun 26, 2018 - WAS vs. CON",2018,06/26/2018,WAS,CON,Home,W,18,4,1,7,14.3,1,2,50,1,2,50,1,2,3,2,0,0,1,2,-5
"Jun 28, 2018 - WAS vs. NYL",2018,06/28/2018,WAS,NYL,Home,W,25,8,4,4,100,0,0,0,0,0,0,0,5,5,1,0,1,2,2,-2
"Jun 30, 2018 - WAS vs. PHO",2018,06/30/2018,WAS,PHO,Home,L,24,10,4,7,57.1,2,4,50,0,0,0,0,2,2,4,0,0,2,1,3
"Jul 05, 2018 - WAS vs. NYL",2018,07/05/2018,WAS,NYL,Home,W,27,10,3,5,60,2,3,66.7,2,2,100,1,6,7,10,2,0,0,0,13
"Jul 07, 2018 - WAS @ LAS",2018,07/07/2018,WAS,LAS,Away,W,22,9,2,5,40,0,2,0,5,7,71.4,1,3,4,3,0,0,2,0,-1
"Jul 08, 2018 - WAS @ SEA",2018,07/08/2018,WAS,SEA,Away,L,29,10,3,6,50,2,4,50,2,2,100,0,1,1,5,1,0,3,3,14
"Jul 11, 2018 - WAS vs. ATL",2018,07/11/2018,WAS,ATL,Home,L,27,17,7,11,63.6,3,4,75,0,0,0,0,4,4,2,1,0,2,3,-16
"Jul 13, 2018 - WAS vs. CHI",2018,07/13/2018,WAS,CHI,Home,W,27,8,3,8,37.5,2,4,50,0,0,0,0,4,4,7,1,0,2,1,34
"Jul 15, 2018 - WAS @ ATL",2018,07/15/2018,WAS,ATL,Away,L,30,0,0,6,0,0,1,0,0,0,0,0,1,1,4,1,0,1,3,0
"Jul 31, 2018 - WAS @ ATL",2018,07/31/2018,WAS,ATL,Away,W,28,11,4,7,57.1,3,5,60,0,0,0,0,3,3,4,0,0,5,6,15
"Aug 05, 2018 - WAS @ DAL",2018,08/05/2018,WAS,DAL,Away,W,23,13,4,6,66.7,4,5,80,1,2,50,0,5,5,2,0,0,0,2,6
"Aug 07, 2018 - WAS @ PHO",2018,08/07/2018,WAS,PHO,Away,W,37,15,5,11,45.5,4,6,66.7,1,2,50,0,2,2,6,2,1,1,1,4
"Aug 09, 2018 - WAS vs. SEA",2018,08/09/2018,WAS,SEA,Home,W,21,14,6,7,85.7,2,3,66.7,0,0,0,0,3,3,8,0,0,0,4,21
"Aug 12, 2018 - WAS vs. DAL",2018,08/12/2018,WAS,DAL,Home,W,29,8,3,6,50,0,1,0,2,2,100,0,4,4,4,2,0,2,2,24
"Aug 15, 2018 - WAS @ IND",2018,08/15/2018,WAS,IND,Away,W,31,5,2,7,28.6,1,5,20,0,0,0,0,1,1,7,0,0,3,3,9
"Aug 17, 2018 - WAS vs. LAS",2018,08/17/2018,WAS,LAS,Home,W,28,4,2,11,18.2,0,3,0,0,0,0,1,1,2,5,1,0,2,1,-20
"Aug 19, 2018 - WAS @ MIN",2018,08/19/2018,WAS,MIN,Away,L,25,5,2,8,25,1,4,25,0,0,0,0,3,3,3,2,0,0,1,5
